Ax,Ay,Az,Gx,Gy,Gz,fL,fR
-0.8702392578125,0.12158203125,0.4560546875,-0.244140625,-3.47900390625,-1.28173828125,-17,-19
-0.8709716796875,0.1214599609375,0.4578857421875,0.732421875,-4.21142578125,-1.5869140625,-18,-19
-0.8704833984375,0.119384765625,0.4598388671875,0.1220703125,-3.11279296875,-1.953125,-14,-18
-0.8797607421875,0.1162109375,0.4677734375,0.732421875,-2.74658203125,-2.13623046875,-20,-19
-0.8720703125,0.110595703125,0.44921875,0.3662109375,-6.34765625,-1.0986328125,-18,-19
-0.8941650390625,0.1103515625,0.470458984375,-0.18310546875,-3.35693359375,-1.40380859375,-17,-20
-0.8848876953125,0.1282958984375,0.4500732421875,-0.06103515625,-2.9296875,-1.77001953125,-18,-19
-0.8702392578125,0.120361328125,0.4727783203125,1.40380859375,-5.06591796875,-1.220703125,-15,-19
-0.8616943359375,0.1343994140625,0.4464111328125,0.42724609375,-5.92041015625,-0.6103515625,-16,-19
-0.859130859375,0.103515625,0.4495849609375,0.54931640625,-5.43212890625,-1.953125,-15,-19
-0.8846435546875,0.1185302734375,0.4276123046875,13.61083984375,68.54248046875,-9.70458984375,-21,-21
-0.9892578125,0.108642578125,0.0703125,3.11279296875,17.4560546875,-1.5869140625,-21,-21
-0.9559326171875,0.1036376953125,0.0677490234375,3.173828125,0.18310546875,-1.52587890625,-22,-21
-0.9710693359375,0.100830078125,0.02001953125,0.8544921875,-4.94384765625,-1.52587890625,-22,-21
-0.9835205078125,0.096923828125,0.035400390625,1.64794921875,-4.2724609375,-1.220703125,-22,-17
-0.9881591796875,0.0947265625,0.0391845703125,0.79345703125,-3.7841796875,-1.03759765625,-21,-21
-0.992919921875,0.103271484375,0.0428466796875,-0.42724609375,-3.5400390625,-0.8544921875,-19,-21
-0.979736328125,0.1064453125,0.0433349609375,1.5869140625,-4.0283203125,0,-18,-21
-0.9937744140625,0.112548828125,0.043701171875,1.28173828125,-5.06591796875,-0.54931640625,-19,-21
-0.9793701171875,0.1123046875,0.04443359375,0.79345703125,-4.45556640625,-1.89208984375,-21,-21
-0.9886474609375,0.1043701171875,0.044677734375,0.30517578125,-4.33349609375,-1.953125,-21,-21
-0.97998046875,0.104736328125,0.04931640625,0.8544921875,-3.84521484375,-1.8310546875,-21,-22
-0.9820556640625,0.1044921875,0.0380859375,7.080078125,-7.4462890625,-0.79345703125,-20,-21
-0.982421875,0.0982666015625,0.05859375,-2.38037109375,-4.39453125,-3.41796875,-18,-22
-0.984130859375,0.10498046875,0.065185546875,-1.0986328125,-3.23486328125,-2.50244140625,-20,-22
-0.9788818359375,0.0860595703125,0.0650634765625,1.89208984375,-3.72314453125,-0.18310546875,-17,-21
-0.9847412109375,0.094482421875,0.061767578125,1.03759765625,-5.0048828125,-1.220703125,-18,-21
