Ax,Ay,Az,Gx,Gy,Gz,fL,fR
-0.987548828125,0.10986328125,0.0574951171875,0.54931640625,-2.86865234375,-0.54931640625,-20,-19
-0.986083984375,0.09375,0.0548095703125,0.06103515625,-5.55419921875,-1.64794921875,-21,-20
-0.9937744140625,0.0933837890625,0.062744140625,-0.91552734375,-17.88330078125,-2.74658203125,-19,-20
-0.9833984375,0.0797119140625,0.1826171875,-3.90625,-34.7900390625,-3.96728515625,-20,-20
-0.9033203125,0.047119140625,0.37841796875,-12.26806640625,-59.87548828125,-1.953125,-17,-19
-0.703857421875,0.0289306640625,0.6826171875,-27.9541015625,-78.30810546875,12.39013671875,-21,-16
-0.28515625,-0.117431640625,1.0123291015625,-38.6962890625,-39.6728515625,-13.916015625,-23,-13
-0.1768798828125,-0.4222412109375,0.8382568359375,-38.4521484375,-17.4560546875,-10.31494140625,-21,-12
-0.1326904296875,-0.55908203125,0.8896484375,7.50732421875,-0.54931640625,2.50244140625,-20,-14
-0.1705322265625,-0.51220703125,0.8758544921875,2.25830078125,-3.11279296875,-0.1220703125,-22,-13
-0.1405029296875,-0.427978515625,0.8743896484375,0.244140625,-3.47900390625,-0.54931640625,-23,-12
-0.1588134765625,-0.49560546875,0.883544921875,1.77001953125,-5.615234375,-3.23486328125,-22,-13
-0.1614990234375,-0.4793701171875,0.8841552734375,2.25830078125,-4.2724609375,-0.244140625,-24,-13
-0.10595703125,-0.486083984375,0.8546142578125,-0.1220703125,-1.03759765625,-1.8310546875,-23,-15
-0.1546630859375,-0.46337890625,0.8878173828125,0.3662109375,-5.859375,-3.72314453125,-23,-11
-0.1693115234375,-0.442138671875,0.866455078125,1.15966796875,-1.708984375,-0.42724609375,-23,-12
