Ax,Ay,Az,Gx,Gy,Gz,fL,fR
-0.8408203125,0.115234375,0.515869140625,0.3662109375,-3.90625,-1.3427734375,-18,-20
-0.8408203125,0.1097412109375,0.51171875,0.244140625,-3.47900390625,-1.3427734375,-20,-18
-0.8367919921875,0.117431640625,0.51220703125,0.244140625,-4.638671875,-0.42724609375,-16,-19
-0.8466796875,0.121826171875,0.5240478515625,0.79345703125,-4.69970703125,-1.5869140625,-16,-18
-0.840576171875,0.0989990234375,0.51220703125,0.30517578125,-2.197265625,-1.15966796875,-19,-19
-0.8343505859375,0.0986328125,0.516845703125,0.244140625,-6.04248046875,-2.3193359375,-16,-20
-0.836669921875,0.113037109375,0.5050048828125,0.8544921875,3.41796875,-3.35693359375,-18,-18
-0.841064453125,0.1370849609375,0.4400634765625,1.64794921875,27.89306640625,-4.69970703125,-20,-18
-0.9261474609375,0.0836181640625,0.2825927734375,5.7373046875,20.99609375,-4.69970703125,-20,-20
-0.970458984375,0.11767578125,0.146240234375,0.244140625,0.9765625,-3.0517578125,-21,-19
-0.93359375,0.0826416015625,0.1339111328125,-1.03759765625,-3.173828125,-1.52587890625,-22,-21
-0.96826171875,0.0726318359375,0.146240234375,0.8544921875,-3.2958984375,-1.220703125,-19,-21
-0.977294921875,0.073974609375,0.1405029296875,1.03759765625,-3.7841796875,-1.15966796875,-21,-21
-0.9786376953125,0.0709228515625,0.1453857421875,0.18310546875,-1.953125,-1.46484375,-19,-19
-0.9803466796875,0.0894775390625,0.1248779296875,-0.79345703125,-0.79345703125,0.6103515625,-21,-20
-0.9732666015625,0.080810546875,0.1146240234375,0.42724609375,-1.0986328125,0.42724609375,-20,-21
-0.990966796875,0.09521484375,0.1123046875,0.42724609375,-4.82177734375,-0.732421875,-20,-20
