Ax,Ay,Az,Gx,Gy,Gz
0.9658203125,-0.2733154296875,-0.1551513671875,-1.03759765625,-3.2958984375,-3.60107421875
0.9542236328125,-0.271484375,-0.1712646484375,0.732421875,-5.126953125,-3.23486328125
0.9588623046875,-0.2742919921875,-0.156982421875,1.03759765625,-6.103515625,-2.62451171875
0.9727783203125,-0.2584228515625,-0.171142578125,-0.48828125,-3.35693359375,-4.33349609375
0.950439453125,-0.2708740234375,-0.1600341796875,1.40380859375,-4.57763671875,-0.42724609375
0.9598388671875,-0.2677001953125,-0.1785888671875,0.48828125,-3.47900390625,-6.53076171875
0.955078125,-0.2779541015625,-0.193603515625,1.40380859375,-6.103515625,2.3193359375
0.98974609375,-0.258544921875,-0.1617431640625,0,-1.0986328125,-2.62451171875
0.9571533203125,-0.2564697265625,-0.180419921875,-0.18310546875,-2.86865234375,-2.62451171875
0.9462890625,-0.2890625,-0.1885986328125,4.45556640625,-6.40869140625,-4.8828125
0.9647216796875,-0.277587890625,-0.1761474609375,1.03759765625,-3.23486328125,-1.3427734375
0.9420166015625,-0.278076171875,-0.1658935546875,-0.42724609375,-4.69970703125,-0.48828125
0.9510498046875,-0.2772216796875,-0.1732177734375,0.79345703125,-3.47900390625,-3.11279296875
0.9544677734375,-0.2816162109375,-0.1827392578125,0.79345703125,-5.615234375,-2.62451171875
