Ax,Ay,Az,Gx,Gy,Gz,fL,fR
-0.9892578125,0.0728759765625,0.0777587890625,0.18310546875,-4.150390625,-1.220703125,-18,-20
-0.992431640625,0.0718994140625,0.0740966796875,0.8544921875,-3.60107421875,-1.03759765625,-19,-19
-0.99169921875,0.0625,0.0726318359375,-0.06103515625,-4.2724609375,-1.0986328125,-19,-20
-0.9876708984375,0.0723876953125,0.0740966796875,0.79345703125,-4.08935546875,-1.220703125,-22,-21
-0.9896240234375,0.0732421875,0.07666015625,0.732421875,-3.7841796875,-0.9765625,-20,-20
-0.9884033203125,0.07373046875,0.0753173828125,0.54931640625,-3.5400390625,-1.220703125,-19,-20
-0.9840087890625,0.0731201171875,0.07666015625,1.0986328125,-3.47900390625,-1.64794921875,-20,-20
-0.973388671875,0.07421875,0.07421875,0.79345703125,-3.96728515625,-1.0986328125,-19,-20
-0.979736328125,0.071533203125,0.07470703125,0.54931640625,-3.72314453125,-1.46484375,-18,-20
-0.9881591796875,0.0771484375,0.078369140625,0.67138671875,-3.7841796875,-1.28173828125,-20,-19
-0.9847412109375,0.0751953125,0.076171875,0.54931640625,-3.84521484375,-1.46484375,-18,-21
-0.987060546875,0.0748291015625,0.0758056640625,0.18310546875,-4.69970703125,-1.46484375,-19,-20
-0.9854736328125,0.0743408203125,0.0736083984375,0.67138671875,-3.11279296875,-1.5869140625,-20,-20
-0.9766845703125,0.068359375,0.072021484375,0.48828125,-3.47900390625,-2.01416015625,-20,-20
-0.986572265625,0.0706787109375,0.0765380859375,0.48828125,-3.90625,-1.64794921875,-17,-20
-0.990234375,0.068359375,0.0648193359375,0.8544921875,-3.47900390625,-1.8310546875,-19,-21
-0.9923095703125,0.0667724609375,0.0728759765625,0.8544921875,-3.84521484375,-1.220703125,-17,-20
-0.980224609375,0.0626220703125,0.07421875,0.18310546875,-3.5400390625,0.42724609375,-20,-20
-0.9862060546875,0.071533203125,0.06787109375,0.3662109375,-4.5166015625,1.708984375,-19,-21
-0.979736328125,0.10009765625,0.0753173828125,3.5400390625,-2.5634765625,-3.23486328125,-20,-21
-0.9827880859375,0.078857421875,0.06396484375,-0.3662109375,-3.96728515625,-1.5869140625,-20,-20
-0.980224609375,0.0684814453125,0.0726318359375,0.42724609375,-3.173828125,-1.5869140625,-19,-20
-0.9864501953125,0.08447265625,0.076171875,-0.9765625,-5.06591796875,-1.8310546875,-20,-19
-0.9949951171875,0.055419921875,0.074462890625,0.67138671875,-3.84521484375,-1.89208984375,-19,-19
-0.9842529296875,0.052978515625,0.0548095703125,0.79345703125,-4.2724609375,-0.18310546875,-18,-18
-0.98974609375,0.08056640625,0.0667724609375,2.44140625,-4.33349609375,-2.0751953125,-17,-20
-0.98291015625,0.088134765625,0.07666015625,-0.9765625,-1.15966796875,-1.46484375,-16,-20
-0.9852294921875,0.0843505859375,0.0643310546875,4.5166015625,-2.50244140625,-0.91552734375,-16,-20
