Ax,Ay,Az,Gx,Gy,Gz,fL,fR
-0.9827880859375,0.0816650390625,0.0916748046875,-2.01416015625,-3.84521484375,-2.44140625,-20,-20
-0.98583984375,0.1014404296875,0.1153564453125,0.06103515625,-4.21142578125,-1.0986328125,-20,-19
-0.9810791015625,0.083740234375,0.1181640625,1.0986328125,-4.0283203125,-2.25830078125,-18,-20
-0.98486328125,0.0789794921875,0.1173095703125,1.03759765625,-4.21142578125,-1.52587890625,-19,-20
-0.9805908203125,0.07568359375,0.12060546875,1.03759765625,-4.08935546875,-1.03759765625,-17,-21
-0.97900390625,0.078857421875,0.119384765625,0.732421875,-3.90625,-1.0986328125,-20,-21
-0.98095703125,0.0816650390625,0.1148681640625,0.8544921875,-3.72314453125,-1.03759765625,-19,-20
-0.9730224609375,0.0849609375,0.11669921875,0.1220703125,-3.72314453125,-1.03759765625,-20,-20
-0.976318359375,0.0831298828125,0.1177978515625,0.6103515625,-3.90625,-1.0986328125,-20,-21
-0.9754638671875,0.08154296875,0.1199951171875,0.9765625,-4.82177734375,-0.79345703125,-18,-19
-0.97119140625,0.087158203125,0.1328125,2.0751953125,-9.033203125,-3.11279296875,-19,-21
-0.9779052734375,0.0875244140625,0.159912109375,-1.40380859375,-10.009765625,0.244140625,-21,-19
-0.9617919921875,0.0853271484375,0.1976318359375,-0.54931640625,-7.99560546875,-4.638671875,-21,-20
-0.9573974609375,0.0609130859375,0.220947265625,-2.44140625,-7.32421875,-2.74658203125,-22,-20
-0.947021484375,0.034912109375,0.25,-4.21142578125,-10.07080078125,-0.1220703125,-19,-20
-0.940185546875,0.0419921875,0.29150390625,0.18310546875,-10.498046875,-2.0751953125,-20,-19
-0.9420166015625,0.05810546875,0.3182373046875,-0.91552734375,-6.591796875,-1.28173828125,-19,-19
-0.9368896484375,0.052978515625,0.326171875,-5.4931640625,-5.0048828125,-0.30517578125,-18,-19
-0.9306640625,0.041748046875,0.3411865234375,2.0751953125,-5.79833984375,-1.64794921875,-19,-19
-0.9234619140625,0.0465087890625,0.3475341796875,0.18310546875,-4.33349609375,-0.91552734375,-20,-18
-0.9188232421875,0.0439453125,0.35546875,0.91552734375,-5.2490234375,-0.9765625,-18,-19
-0.9127197265625,0.0457763671875,0.364013671875,0.91552734375,-4.5166015625,-1.3427734375,-19,-19
-0.9166259765625,0.0557861328125,0.369384765625,0.18310546875,-4.45556640625,-1.28173828125,-19,-18
-0.9122314453125,0.047607421875,0.3748779296875,1.5869140625,-4.21142578125,-1.220703125,-18,-19
-0.91357421875,0.05419921875,0.37548828125,0.244140625,-3.662109375,-1.46484375,-18,-19
-0.9088134765625,0.0517578125,0.3785400390625,1.953125,-4.0283203125,-0.79345703125,-16,-20
-0.9140625,0.068359375,0.37646484375,2.25830078125,-4.21142578125,-0.6103515625,-17,-20
-0.9141845703125,0.0640869140625,0.3834228515625,2.685546875,-4.2724609375,-1.8310546875,-20,-19
-0.908203125,0.0693359375,0.3795166015625,2.0751953125,-3.84521484375,-0.8544921875,-19,-20
-0.91015625,0.0693359375,0.37744140625,0.42724609375,-4.69970703125,-2.25830078125,-18,-18
-0.9041748046875,0.065673828125,0.3861083984375,0.244140625,-4.2724609375,-1.5869140625,-16,-19
-0.9095458984375,0.0628662109375,0.3916015625,0.54931640625,-4.0283203125,-2.13623046875,-20,-19
-0.9051513671875,0.0628662109375,0.393310546875,1.03759765625,-4.21142578125,-1.5869140625,-17,-20
-0.905517578125,0.0572509765625,0.391845703125,0.244140625,-4.39453125,-1.220703125,-17,-17
-0.90478515625,0.0609130859375,0.3961181640625,0.42724609375,-4.2724609375,-1.52587890625,-19,-19
-0.9039306640625,0.0621337890625,0.3997802734375,0.9765625,-4.150390625,-1.28173828125,-16,-19
-0.8983154296875,0.0587158203125,0.4017333984375,0.6103515625,-3.47900390625,-1.28173828125,-19,-17
-0.9007568359375,0.066650390625,0.3995361328125,0.732421875,-3.662109375,-1.46484375,-17,-18
-0.90234375,0.0621337890625,0.3990478515625,0.79345703125,-2.9296875,-1.28173828125,-19,-17
-0.9044189453125,0.0643310546875,0.4002685546875,0.42724609375,-4.150390625,-1.64794921875,-19,-17
-0.901611328125,0.06201171875,0.4036865234375,0.9765625,-3.72314453125,-1.28173828125,-19,-19
-0.8983154296875,0.0623779296875,0.405029296875,0.244140625,-3.90625,-1.3427734375,-16,-19
-0.8968505859375,0.0599365234375,0.4088134765625,1.03759765625,-3.0517578125,-1.52587890625,-18,-19
-0.9019775390625,0.068115234375,0.3924560546875,1.28173828125,-2.8076171875,-0.54931640625,-17,-17
-0.86279296875,0.06494140625,0.4033203125,-1.28173828125,-3.96728515625,-1.52587890625,-18,-18
-0.87939453125,0.075927734375,0.406494140625,-0.30517578125,-2.62451171875,-1.5869140625,-19,-19
-0.9073486328125,0.081298828125,0.4166259765625,0.6103515625,-6.4697265625,-1.77001953125,-19,-18
