Ax,Ay,Az,Gx,Gy,Gz
0.014892578125,0.01220703125,1.005859375,0.3662109375,-4.150390625,-3.41796875
0.012939453125,0.0115966796875,1.005126953125,0.244140625,-3.662109375,-3.2958984375
0.01513671875,0.0084228515625,1.0059814453125,2.25830078125,-3.7841796875,-3.35693359375
0.0120849609375,0.0142822265625,1.0050048828125,1.0986328125,-3.84521484375,-3.41796875
0.0115966796875,0.015869140625,1.0015869140625,-0.42724609375,-3.84521484375,-3.47900390625
0.010498046875,0.0146484375,1.0003662109375,2.8076171875,-3.90625,-3.35693359375
0.0113525390625,0.0152587890625,0.99951171875,1.3427734375,-3.96728515625,-3.35693359375
0.01220703125,0.0133056640625,1.0035400390625,1.28173828125,-4.0283203125,-3.41796875
0.011962890625,0.0179443359375,1.00390625,0.9765625,-3.7841796875,-3.35693359375
0.0108642578125,0.0174560546875,1.002197265625,0.91552734375,-3.7841796875,-3.41796875
0.0137939453125,0.0140380859375,1.0050048828125,0.732421875,-3.90625,-3.41796875
0.0113525390625,0.0146484375,1.0020751953125,0.06103515625,-3.90625,-3.35693359375
0.0125732421875,0.0142822265625,1.0057373046875,0.54931640625,-3.72314453125,-3.41796875
0.009521484375,0.016845703125,1.0078125,1.46484375,-3.7841796875,-3.47900390625
0.008056640625,0.0179443359375,1.006103515625,0.8544921875,-4.7607421875,-3.47900390625
0.0096435546875,0.0072021484375,0.9588623046875,-3.2958984375,-3.72314453125,-34.11865234375
-0.2510986328125,0.0670166015625,0.9888916015625,0.1220703125,0.30517578125,-51.7578125
0.812744140625,0.0478515625,0.9794921875,2.99072265625,-2.13623046875,-0.91552734375
-0.0006103515625,0.014404296875,1.00537109375,1.0986328125,-3.662109375,-3.35693359375
0.0023193359375,0.0103759765625,1.0032958984375,1.0986328125,-4.08935546875,-3.41796875
0.0064697265625,0.0084228515625,1.006103515625,-0.06103515625,-4.21142578125,-3.41796875
0.0054931640625,0.0089111328125,1.0047607421875,0.91552734375,-3.7841796875,-3.41796875
0.0023193359375,0.012451171875,1.00439453125,1.46484375,-3.60107421875,-3.35693359375
0.003662109375,0.0130615234375,1.00537109375,-0.67138671875,-4.2724609375,-3.47900390625
0.00244140625,0.0106201171875,1.0084228515625,1.708984375,-3.72314453125,-3.47900390625
