Ax,Ay,Az,Gx,Gy,Gz,fL,fR
-0.9906005859375,0.07275390625,0.0987548828125,2.197265625,-10.19287109375,-0.54931640625,-20,-20
-0.96875,0.076904296875,0.15185546875,0.9765625,-8.97216796875,-0.91552734375,-20,-20
-0.9814453125,0.0819091796875,0.189453125,-1.28173828125,-10.43701171875,-0.732421875,-18,-18
-0.96484375,0.082275390625,0.2288818359375,-2.01416015625,-10.1318359375,0.732421875,-19,-19
-0.948974609375,0.08349609375,0.2550048828125,-3.0517578125,-8.85009765625,-0.6103515625,-18,-19
-0.939453125,0.0849609375,0.287841796875,-2.3193359375,-10.986328125,-1.77001953125,-18,-17
-0.93408203125,0.0780029296875,0.3271484375,-0.732421875,-8.9111328125,-1.64794921875,-17,-18
-0.917724609375,0.0777587890625,0.360595703125,-1.708984375,-6.34765625,-1.64794921875,-18,-18
-0.91845703125,0.0714111328125,0.3701171875,0.67138671875,-2.9296875,-1.220703125,-18,-18
-0.9144287109375,0.064208984375,0.37060546875,0.244140625,-4.8828125,-0.9765625,-18,-17
-0.90869140625,0.0784912109375,0.3839111328125,0.54931640625,-4.33349609375,-1.64794921875,-16,-19
-0.912353515625,0.0753173828125,0.386962890625,0.732421875,-4.0283203125,-1.46484375,-18,-17
-0.9095458984375,0.0789794921875,0.3916015625,0.42724609375,-4.39453125,-1.8310546875,-16,-18
-0.904296875,0.0760498046875,0.3885498046875,0.54931640625,-3.47900390625,-1.46484375,-18,-18
-0.9080810546875,0.0745849609375,0.3939208984375,0.18310546875,-5.4931640625,-1.64794921875,-18,-18
-0.9010009765625,0.0723876953125,0.400146484375,0.48828125,-4.57763671875,-1.52587890625,-18,-16
-0.900146484375,0.0716552734375,0.4093017578125,-0.244140625,-7.26318359375,-1.46484375,-19,-16
-0.8984375,0.073974609375,0.4166259765625,0.42724609375,-4.21142578125,-1.64794921875,-17,-18
-0.8929443359375,0.0687255859375,0.4169921875,0.6103515625,-4.39453125,-1.5869140625,-19,-17
-0.8936767578125,0.0673828125,0.419189453125,0.9765625,-1.8310546875,-0.6103515625,-18,-17
-0.911865234375,0.084228515625,0.417724609375,0.18310546875,-1.64794921875,-0.6103515625,-18,-18
-0.8941650390625,0.0994873046875,0.4132080078125,0.67138671875,-5.55419921875,-1.89208984375,-18,-17
-0.8878173828125,0.0523681640625,0.4195556640625,0.8544921875,-3.60107421875,-1.28173828125,-17,-18
-0.8955078125,0.077880859375,0.417236328125,1.15966796875,-2.86865234375,-2.74658203125,-15,-18
-0.89404296875,0.0682373046875,0.4447021484375,0.3662109375,0.244140625,-1.03759765625,-17,-18
