Ax,Ay,Az,Gx,Gy,Gz,fL,fR
-0.871826171875,0.09814453125,0.4473876953125,3.662109375,-4.57763671875,-0.30517578125,-16,-15
-0.87109375,0.1104736328125,0.443603515625,-0.48828125,-3.90625,-2.62451171875,-18,-20
-0.88232421875,0.1103515625,0.4482421875,0.79345703125,-1.5869140625,-0.79345703125,-18,-19
-0.8939208984375,0.095703125,0.4520263671875,0.54931640625,-3.0517578125,-0.732421875,-17,-21
-0.84228515625,0.10498046875,0.4366455078125,0.30517578125,-5.4931640625,-1.8310546875,-16,-20
-0.892822265625,0.098388671875,0.442626953125,-1.5869140625,-4.57763671875,-2.01416015625,-19,-20
-0.8902587890625,0.12646484375,0.440673828125,2.9296875,-4.150390625,-0.8544921875,-18,-19
-0.904052734375,0.1131591796875,0.4208984375,4.150390625,-1.3427734375,-2.25830078125,-17,-14
-0.8642578125,0.1544189453125,0.4384765625,0.67138671875,-6.04248046875,-1.8310546875,-16,-20
-0.8973388671875,0.1341552734375,0.4390869140625,1.77001953125,-3.662109375,-2.13623046875,-18,-19
-0.8763427734375,0.1243896484375,0.42626953125,1.3427734375,-1.708984375,-2.13623046875,-18,-19
-0.895263671875,0.1138916015625,0.4378662109375,1.220703125,-3.72314453125,-1.77001953125,-17,-23
-0.9005126953125,0.114501953125,0.4417724609375,1.3427734375,-4.0283203125,-1.52587890625,-17,-20
